SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531306,DHP INDIA LT,XT,Q,498.10,515.00,491.00,495.60,491.00,507.85,33,943,471109.00,
531328,KRETTOSYS   ,X ,Q,32.15,32.15,32.15,32.15,32.15,32.15,2,101,3247.00,
531335,ZYDUS WELL  ,B ,Q,1159.65,1188.55,1115.00,1173.10,1160.00,1160.60,90,889,1047298.00,
531337,IRISMEDIA   ,ST,Q,23.20,23.20,23.20,23.20,23.20,23.65,1,1,23.00,
531339,JAIHIND PROJ,B ,Q,5.30,5.49,5.30,5.49,5.49,5.30,3,800,4278.00,
531344,CONTAIN.CORP,A ,Q,1226.20,1251.80,1226.20,1243.80,1239.45,1225.40,933,9737,12112795.00,
531349,PANACEA BIOT,B ,Q,273.30,280.70,265.05,267.10,267.10,276.85,326,12108,3303921.00,
531352,PEETI SECURT,XT,Q,8.10,8.10,8.10,8.10,8.10,8.08,1,500,4050.00,
531358,CHOICE INT. ,X ,Q,122.00,133.95,121.60,125.00,125.00,128.00,216,9638,1222808.00,
531359,SHRIRAM ASSE,X ,Q,57.65,60.45,57.60,60.45,60.45,57.60,12,2505,148328.00,
531370,SPARC SYSTEM,XT,Q,4.44,4.44,4.24,4.24,4.24,4.46,3,210,930.00,
531373,BYKE HOSP   ,B ,Q,168.90,172.00,167.00,167.75,167.75,169.50,193,12936,2195397.00,
531390,UPSURGE INV.,X ,Q,46.45,46.45,42.05,44.30,45.90,44.25,25,29850,1330975.00,
531396,WOMEN NETWOR,X ,Q,2.71,2.71,2.71,2.71,2.71,2.85,1,98928,268094.00,
531398,SOURCENTRL  ,XT,Q,109.50,109.50,109.50,109.50,109.50,111.00,1,1,109.00,
531402,LWS KNITWEAR,XT,Q,13.11,13.11,13.11,13.11,13.11,13.80,2,50,655.00,
531404,ZICOM ELECTR,B ,Q,15.70,15.95,15.35,15.50,15.35,15.85,147,29392,460199.00,
531409,ALCH CORP   ,XT,Q,6.66,6.66,6.66,6.66,6.66,6.35,1,1,6.00,
